simulator-1  | 2026-03-24 15:49:36,521 [INFO] simulator.main: Event loop latency 0.00087 s
simulator-1  | 2026-03-24 15:49:37,521 [INFO] simulator.main: Event loop latency 0.00091 s
simulator-1  | 2026-03-24 15:49:38,521 [INFO] simulator.main: Event loop latency 0.00042 s
simulator-1  | 2026-03-24 15:49:39,521 [INFO] simulator.main: Event loop latency 0.00087 s
simulator-1  | 2026-03-24 15:49:40,521 [INFO] simulator.main: Event loop latency 0.00068 s
simulator-1  | 2026-03-24 15:49:41,521 [INFO] simulator.main: Event loop latency 0.00077 s
simulator-1  | 2026-03-24 15:49:42,521 [INFO] simulator.main: Event loop latency 0.00070 s
simulator-1  | 2026-03-24 15:49:43,521 [INFO] simulator.main: Event loop latency 0.00085 s
simulator-1  | 2026-03-24 15:49:44,520 [INFO] simulator.main: Event loop latency 0.00025 s
simulator-1  | 2026-03-24 15:49:45,521 [INFO] simulator.main: Event loop latency 0.00054 s
simulator-1  | 2026-03-24 15:49:46,521 [INFO] simulator.main: Event loop latency 0.00078 s
simulator-1  | 2026-03-24 15:49:47,521 [INFO] simulator.main: Event loop latency 0.00115 s
simulator-1  | 2026-03-24 15:49:47,545 [INFO] simulator.engine.world_engine: State synced to PostgreSQL (200 rooms)
simulator-1  | 2026-03-24 15:49:48,521 [INFO] simulator.main: Event loop latency 0.00048 s
simulator-1  | 2026-03-24 15:49:49,521 [INFO] simulator.main: Event loop latency 0.00057 s
simulator-1  | 2026-03-24 15:49:50,521 [INFO] simulator.main: Event loop latency 0.00116 s
simulator-1  | 2026-03-24 15:49:51,521 [INFO] simulator.main: Event loop latency 0.00118 s
simulator-1  | 2026-03-24 15:49:52,521 [INFO] simulator.main: Event loop latency 0.00096 s
simulator-1  | 2026-03-24 15:49:53,521 [INFO] simulator.main: Event loop latency 0.00094 s
simulator-1  | 2026-03-24 15:49:54,521 [INFO] simulator.main: Event loop latency 0.00103 s
simulator-1  | 2026-03-24 15:49:55,521 [INFO] simulator.main: Event loop latency 0.00072 s
simulator-1  | 2026-03-24 15:49:56,521 [INFO] simulator.main: Event loop latency 0.00047 s
simulator-1  | 2026-03-24 15:49:57,521 [INFO] simulator.main: Event loop latency 0.00089 s
